led1.x,led1.y,led2.x,led2.y,led3.x,led3.y,led4.x,led4.y,temperatura,tempo
99.5102559463,494.788969078,99.7626851864,164.680742436,318.825843268,165.773400698,320.581007723,494.128594813,25,7.42715406418
99.4909065935,494.806560118,99.7702282403,164.704418401,318.831065663,165.770801324,320.584835696,494.128266949,25,7.48364901543
99.4893795201,494.784212148,99.7648172498,164.680124907,318.834306603,165.758073345,320.58299609,494.141175035,25,7.54501986504
99.4919438674,494.791236937,99.7484252942,164.681614855,318.840342019,165.758467717,320.598653261,494.114048817,25,7.61352801323
99.5076866611,494.784134959,99.7439156251,164.690362205,318.84833663,165.747654409,320.579939527,494.140603542,25,7.68442296982
99.4936795485,494.783277533,99.7681616022,164.681983465,318.856871492,165.77725184,320.594750591,494.137193036,25,7.74215602875
99.4854371207,494.794293367,99.7480018165,164.681493188,318.822872735,165.761759766,320.590414028,494.138389227,25,7.79870486259
99.497284952,494.789122059,99.7445711267,164.678963581,318.848296415,165.752277833,320.581176306,494.144757514,25,7.85512804985
99.4951635839,494.768297565,99.7791321758,164.682095176,318.859324116,165.751840908,320.579960169,494.128842358,25,7.9100818634
99.4714330927,494.804210477,99.7500004544,164.668518098,318.82585762,165.750345229,320.565831698,494.123672751,25,7.96546196938
99.4759025053,494.778991644,99.7596936116,164.664847251,318.846137359,165.783715692,320.585113349,494.127536094,25,8.0525560379
99.4936417212,494.797639335,99.7542441258,164.677479147,318.858966114,165.747721773,320.574849097,494.108541791,25,8.14306688309
99.5121317855,494.77645105,99.758069826,164.675515419,318.848913261,165.765202525,320.591368525,494.129005928,25,8.20886993408
99.5196689143,494.789843505,99.7596004496,164.681678301,318.843005396,165.767491746,320.577333288,494.122224689,25,8.26678586006
99.5047334589,494.782096541,99.7646095368,164.67506267,318.843953006,165.765507584,320.577112302,494.142428294,25,8.32386803627
99.486951809,494.775250301,99.7515923219,164.691240502,318.84727036,165.771138299,320.58252459,494.126944186,25,8.37649106979
99.4953358318,494.791808874,99.7682552323,164.662770253,318.819281928,165.762501705,320.593846689,494.136306705,25,8.45136094093
99.4871710747,494.798398058,99.7636439875,164.675468595,318.837758417,165.75376713,320.572825375,494.13043433,25,8.51174998283
99.4981738287,494.771091399,99.7904051463,164.698836079,318.858695929,165.764934909,320.563559095,494.141093188,25,8.59629201889
99.5333908441,494.768610865,99.7429810052,164.679769154,318.861942191,165.775407419,320.571082825,494.142253414,25,8.65482401848
